episode,steps_per_episode,t_per_episode,reward_per_episode,reward_avg_per_episode,reward_min_per_episode,reward_max_per_episode
1,193.0,39.107,-133.80000000000004,-0.696875,-100.0,0.8
2,14.0,3.328,-104.8,-8.061538461538461,-100.0,0.0
3,29.0,6.138,-107.8,-3.85,-100.0,0.8
4,17.0,3.746,-102.4,-6.4,-100.0,0.0
5,123.0,25.294,-102.6,-0.8409836065573771,-100.0,0.8
6,34.0,7.357999999999999,-106.4,-3.2242424242424246,-100.0,0.8
7,226.0,46.337,-136.00000000000003,-0.6044444444444445,-100.0,0.8
8,203.0,41.146,-108.8,-0.5386138613861385,-100.0,0.8
9,26.0,5.714,-105.8,-4.232,-100.0,0.2
10,68.0,14.489,-106.6,-1.5910447761194029,-100.0,0.8
11,17.0,3.727,-107.2,-6.699999999999999,-100.0,0.0
12,25.0,6.161,-107.2,-4.466666666666666,-100.0,0.0
13,26.0,5.903,-110.6,-4.424,-100.0,0.2
14,39.0,8.134,-108.6,-2.8578947368421046,-100.0,0.8
15,31.0,6.761,-108.4,-3.6133333333333337,-100.0,0.0
16,23.0,6.333,-106.4,-4.836363636363637,-100.0,0.2
17,41.0,8.721999999999998,-109.8,-2.745,-100.0,0.8
18,49.0,10.132,-102.6,-2.1375,-100.0,0.8
19,60.0,12.305,-111.0,-1.8813559322033897,-100.0,0.8
20,184.0,37.307,-112.19999999999997,-0.6131147540983607,-100.0,0.8
21,155.0,31.34,-111.6,-0.7246753246753248,-100.0,0.8
22,27.0,5.715,-105.2,-4.046153846153846,-100.0,0.8
23,32.0,6.757,-105.6,-3.4064516129032256,-100.0,0.8
24,115.0,23.499,-108.4,-0.9508771929824562,-100.0,0.8
25,117.0,23.95,-111.19999999999997,-0.9586206896551724,-100.0,0.8
26,74.0,15.133,-116.6,-1.5972602739726027,-100.0,0.8
27,36.0,7.721,-112.6,-3.2171428571428566,-100.0,0.0
28,37.0,7.910999999999999,-113.19999999999997,-3.1444444444444444,-100.0,0.0
29,38.0,8.543,-105.0,-2.8378378378378377,-100.0,0.8
30,21.0,4.761,-102.8,-5.14,-100.0,0.8
31,96.0,19.921,-100.99999999999999,-1.063157894736842,-100.0,0.8
32,218.0,43.947,-111.19999999999997,-0.5124423963133641,-100.0,0.8
33,35.0,7.569,-103.4,-3.0411764705882356,-100.0,0.8
34,25.0,5.712,-106.0,-4.416666666666665,-100.0,0.0
35,135.0,27.54,-121.0,-0.9029850746268656,-100.0,0.8
36,21.0,4.929,-105.4,-5.27,-100.0,0.0
37,150.0,30.317,-115.19999999999997,-0.7731543624161074,-100.0,0.8
38,19.0,4.351,-107.2,-5.955555555555556,-100.0,0.0
39,38.0,7.942,-108.4,-2.92972972972973,-100.0,0.8
40,18.0,3.926,-106.0,-6.235294117647058,-100.0,0.0
41,30.0,6.941,-110.6,-3.813793103448276,-100.0,0.2
42,26.0,5.507,-107.8,-4.312,-100.0,0.8
43,18.0,3.919,-106.0,-6.235294117647058,-100.0,0.8
44,155.0,31.606,-106.6,-0.6922077922077923,-100.0,0.8
45,53.0,11.118,-117.19999999999997,-2.2538461538461534,-100.0,0.2
46,123.0,24.911,-118.4,-0.9704918032786883,-100.0,0.8
47,35.0,7.932,-111.4,-3.2764705882352945,-100.0,0.0
48,136.0,27.739,-108.8,-0.8059259259259259,-100.0,0.8
49,103.0,21.344,-125.20000000000005,-1.2274509803921567,-100.0,0.8
50,21.0,4.909,-107.4,-5.37,-100.0,0.8
51,95.0,19.616,-113.19999999999997,-1.2042553191489362,-100.0,0.8
52,40.0,8.338,-106.8,-2.7384615384615385,-100.0,0.8
53,57.0,11.737,-106.6,-1.9035714285714287,-100.0,0.8
54,125.0,25.316,-112.6,-0.908064516129032,-100.0,0.8
55,28.0,6.318,-109.6,-4.059259259259259,-100.0,0.0
56,345.0,69.354,-101.40000000000003,-0.2947674418604651,-100.0,0.8
57,36.0,7.526,-109.8,-3.137142857142857,-100.0,0.8
58,36.0,7.538,-106.2,-3.0342857142857143,-100.0,0.8
59,22.0,4.713,-106.0,-5.047619047619048,-100.0,0.2
60,49.0,10.103,-107.4,-2.2375,-100.0,0.8
61,229.0,46.908,-104.2,-0.4570175438596492,-100.0,0.8
62,184.0,37.366,-111.6,-0.6098360655737706,-100.0,0.8
63,123.0,24.909,-100.0,-0.819672131147541,-100.0,0.8
64,48.0,9.968000000000002,-103.8,-2.2085106382978723,-100.0,0.8
65,195.0,39.678,-118.0,-0.6082474226804123,-100.0,0.8
66,171.0,34.551,-109.4,-0.6435294117647059,-100.0,0.8
67,150.0,30.746,-99.79999999999998,-0.6697986577181209,-100.0,0.8
68,18.0,3.932,-103.6,-6.094117647058823,-100.0,0.0
69,17.0,3.7,-106.6,-6.6625,-100.0,0.0
70,138.0,29.388,-120.2,-0.8773722627737227,-100.0,0.8
71,263.0,53.124,-99.4,-0.37938931297709927,-100.0,0.8
72,271.0,54.521,-88.40000000000006,-0.3274074074074074,-100.0,0.8
73,251.0,50.532,-87.0,-0.34800000000000003,-100.0,0.8
74,85.0,17.312,-100.6,-1.1976190476190476,-100.0,0.8
75,20.0,4.308,-109.0,-5.7368421052631575,-100.0,0.0
76,96.0,19.535,-110.6,-1.1642105263157891,-100.0,0.8
77,191.0,38.735,-99.99999999999999,-0.5263157894736842,-100.0,0.8
78,88.0,19.356,-114.4,-1.3149425287356322,-100.0,0.8
79,48.0,10.109,-106.4,-2.2638297872340427,-100.0,0.8
80,18.0,3.912,-107.4,-6.317647058823529,-100.0,0.2
81,202.0,41.166,-114.19999999999997,-0.5681592039800993,-100.0,0.8
82,125.0,25.526,-100.6,-0.8112903225806452,-100.0,0.8
83,28.0,5.948,-109.0,-4.037037037037037,-100.0,0.0
84,198.0,39.914,-108.8,-0.5522842639593909,-100.0,0.8
85,249.0,50.117,-100.2,-0.40403225806451615,-100.0,0.8
86,21.0,4.548,-102.2,-5.11,-100.0,0.2
87,192.0,38.922,-97.8,-0.512041884816754,-100.0,0.8
88,15.0,3.312,-107.2,-7.6571428571428575,-100.0,0.0
89,26.0,5.552,-107.6,-4.303999999999999,-100.0,0.2
90,25.0,5.527,-109.4,-4.558333333333334,-100.0,0.2
91,73.0,15.931,-116.0,-1.6111111111111112,-100.0,0.8
92,67.0,14.133,-98.2,-1.487878787878788,-100.0,0.8
93,138.0,28.121,-96.2,-0.7021897810218979,-100.0,0.8
94,20.0,4.321,-108.8,-5.726315789473684,-100.0,0.2
95,331.0,66.762,-118.0,-0.3575757575757576,-100.0,0.8
96,29.0,6.126,-105.4,-3.7642857142857142,-100.0,0.0
97,20.0,4.333,-107.0,-5.631578947368421,-100.0,0.2
98,273.0,54.91,-124.00000000000009,-0.45588235294117646,-100.0,0.8
99,188.0,37.918,-107.4,-0.574331550802139,-100.0,0.8
100,87.0,17.755,-100.2,-1.1651162790697676,-100.0,0.8
101,28.0,6.112,-110.2,-4.0814814814814815,-100.0,0.0
102,22.0,4.739,-110.2,-5.247619047619048,-100.0,0.0
103,87.0,17.913,-100.2,-1.1651162790697676,-100.0,0.8
104,108.0,22.14,-108.2,-1.011214953271028,-100.0,0.8
105,31.0,6.587,-106.8,-3.56,-100.0,0.8
106,58.0,11.884,-99.4,-1.743859649122807,-100.0,0.8
107,337.0,67.743,-103.4,-0.30773809523809526,-100.0,0.8
108,76.0,15.943,-109.4,-1.4586666666666668,-100.0,0.8
109,29.0,6.102,-110.0,-3.928571428571428,-100.0,0.8
110,340.0,68.948,-123.60000000000002,-0.3646017699115044,-100.0,0.8
111,72.0,15.14,-114.6,-1.6140845070422536,-100.0,0.2
112,500.0,100.931,8.600000000000014,0.01723446893787574,-0.6000000000000001,0.8
113,20.0,4.41,-103.2,-5.431578947368421,-100.0,0.8
114,89.0,18.138,-93.8,-1.0659090909090907,-100.0,0.8
115,27.0,5.903,-104.4,-4.015384615384615,-100.0,0.8
116,31.0,6.567,-106.2,-3.54,-100.0,0.8
117,24.0,5.328,-105.4,-4.582608695652175,-100.0,0.0
118,24.0,5.142,-109.4,-4.756521739130435,-100.0,0.8
119,441.0,89.09999999999998,-107.4,-0.2440909090909091,-100.0,0.8
120,34.0,7.134,-110.0,-3.333333333333333,-100.0,0.8
121,290.0,58.766,-114.6,-0.3965397923875432,-100.0,0.8
122,183.0,37.299,-90.40000000000003,-0.4967032967032967,-100.0,0.8
123,52.0,10.946,-119.2,-2.3372549019607844,-100.0,0.8
124,30.0,6.51,-110.0,-3.7931034482758625,-100.0,0.2
125,31.0,6.567,-113.0,-3.7666666666666666,-100.0,0.2
126,99.0,20.692,-101.4,-1.0346938775510204,-100.0,0.8
127,60.0,12.349,-96.8,-1.6406779661016948,-100.0,0.8
128,30.0,6.509,-107.0,-3.6896551724137927,-100.0,0.8
129,88.0,18.383,-107.0,-1.2298850574712643,-100.0,0.8
130,18.0,3.916,-102.0,-6.0,-100.0,0.8
131,160.0,32.309,-91.2,-0.5735849056603772,-100.0,0.8
132,73.0,14.949,-108.6,-1.5083333333333333,-100.0,0.8
133,22.0,4.696,-104.6,-4.980952380952381,-100.0,0.8
134,415.0,83.575,-79.00000000000011,-0.19082125603864736,-100.0,0.8
135,28.0,5.932,-98.0,-3.6296296296296298,-100.0,0.8
136,99.0,20.117,-101.8,-1.0387755102040817,-100.0,0.8
137,115.0,23.544,-105.8,-0.9280701754385965,-100.0,0.8
138,66.0,13.503,-109.2,-1.68,-100.0,0.8
139,386.0,77.745,-83.79999999999998,-0.21766233766233767,-100.0,0.8
140,21.0,4.526,-103.6,-5.18,-100.0,0.0
141,258.0,51.958,-103.99999999999999,-0.4046692607003891,-100.0,0.8
142,278.0,55.923,-92.2,-0.3328519855595668,-100.0,0.8
143,467.0,93.752,-74.00000000000011,-0.1587982832618026,-100.0,0.8
144,360.0,72.33,-67.80000000000004,-0.1888579387186629,-100.0,0.8
145,29.0,6.538,-106.6,-3.807142857142857,-100.0,0.8
146,140.0,28.324,-104.0,-0.7482014388489208,-100.0,0.8
147,96.0,19.559,-117.4,-1.2357894736842103,-100.0,0.8
148,184.0,37.533,-83.80000000000001,-0.4579234972677596,-100.0,0.8
149,179.0,36.37,-107.8,-0.60561797752809,-100.0,0.8
150,255.0,51.335,-89.80000000000001,-0.35354330708661424,-100.0,0.8
151,14.0,3.308,-100.6,-7.738461538461538,-100.0,0.0
152,19.0,4.913,-103.4,-5.7444444444444445,-100.0,0.2
153,45.0,9.349,-107.4,-2.440909090909091,-100.0,0.2
154,33.0,7.304999999999999,-102.6,-3.20625,-100.0,0.8
155,151.0,30.574,-107.8,-0.7186666666666667,-100.0,0.8
156,36.0,7.729,-111.19999999999997,-3.1771428571428566,-100.0,0.2
157,37.0,7.699,-114.6,-3.183333333333333,-100.0,0.2
158,46.0,9.524000000000001,-104.4,-2.32,-100.0,0.8
159,266.0,53.728,-75.60000000000002,-0.28528301886792445,-100.0,0.8
160,37.0,7.949,-103.6,-2.8777777777777778,-100.0,0.8
161,155.0,31.731,-93.4,-0.6064935064935064,-100.0,0.8
162,229.0,46.305,-90.99999999999999,-0.39912280701754393,-100.0,0.8
163,266.0,53.733,-118.19999999999997,-0.44603773584905654,-100.0,0.8
164,220.0,45.123,-120.8,-0.5515981735159817,-100.0,0.8
165,130.0,26.323,-101.2,-0.7844961240310077,-100.0,0.8
166,25.0,5.368,-108.0,-4.5,-100.0,0.2
167,122.0,25.111,-114.2,-0.9438016528925619,-100.0,0.8
168,500.0,100.309,-8.599999999999985,-0.017234468937875762,-0.6000000000000001,0.8
169,282.0,57.235,-108.4,-0.38576512455516015,-100.0,0.8
170,25.0,5.494,-104.0,-4.333333333333333,-100.0,0.8
171,176.0,35.753,-82.40000000000003,-0.47085714285714286,-100.0,0.8
172,199.0,40.113,-114.39999999999996,-0.5777777777777777,-100.0,0.8
173,371.0,74.799,-77.40000000000009,-0.2091891891891892,-100.0,0.8
174,185.0,37.723,-120.8,-0.6565217391304347,-100.0,0.8
175,162.0,32.715,-98.4,-0.6111801242236026,-100.0,0.8
176,271.0,54.533,-95.0,-0.35185185185185186,-100.0,0.8
177,173.0,34.93,-104.6,-0.608139534883721,-100.0,0.8
178,353.0,71.325,-86.80000000000001,-0.2465909090909091,-100.0,0.8
179,158.0,31.928,-92.2,-0.5872611464968153,-100.0,0.8
180,36.0,8.355,-104.2,-2.9771428571428573,-100.0,0.8
181,115.0,23.34,-107.0,-0.9385964912280702,-100.0,0.8
182,30.0,6.313,-105.4,-3.6344827586206896,-100.0,0.0
183,50.0,10.333,-107.6,-2.1959183673469385,-100.0,0.8
184,22.0,4.749,-109.8,-5.228571428571429,-100.0,0.2
185,29.0,6.104,-110.4,-3.942857142857143,-100.0,0.8
186,35.0,7.535,-101.2,-2.976470588235294,-100.0,0.8
187,18.0,3.929,-102.2,-6.011764705882353,-100.0,0.8
188,185.0,37.316,-89.99999999999999,-0.48913043478260854,-100.0,0.8
189,271.0,54.933,-72.80000000000005,-0.2696296296296296,-100.0,0.8
190,82.0,16.921,-105.6,-1.3037037037037036,-100.0,0.8
191,210.0,42.372,-91.8,-0.43923444976076553,-100.0,0.8
192,114.0,23.135,-95.4,-0.8442477876106194,-100.0,0.8
193,86.0,17.761,-100.0,-1.176470588235294,-100.0,0.8
194,25.0,5.316,-99.4,-4.141666666666667,-100.0,0.8
195,393.0,79.28799999999998,-76.00000000000013,-0.19387755102040813,-100.0,0.8
196,112.0,23.344,-86.60000000000002,-0.7801801801801802,-100.0,0.8
197,28.0,5.932,-112.0,-4.148148148148148,-100.0,0.0
198,266.0,53.525,-87.60000000000002,-0.3305660377358491,-100.0,0.8
199,271.0,54.567,-72.60000000000002,-0.26888888888888884,-100.0,0.8
200,258.0,51.922,-72.80000000000001,-0.2832684824902724,-100.0,0.8
